,Unnamed: 0,training day,DoB,exp_date,exp_name,mice_id,gender,total_trial,time_stim_begin,num_stim,num_enter,contrast,distance,comment,num_exp,exp_starttime,timestamp,latency_to_maxSpeed,mean_speed,max_instance_speed2safezone,max_instance_speed2water,max_instance_speed_before,mean_speed_before,speed_var_before,pause_times_before,coefficiency_speed,index_max_frequency,duration_high_speed,longest_immobile_duration,first_immobile_start,total_immobile_duration,x_loc_looming,x_loc_off,x_loc_end,x_loc_exit,x_loc_distance_duration_high_speed,exit_idx,enter_idx,trial_end_idx,back_to_track_idx,duration_reward,furthest_loc,furthest_idx,nearest_back_loc,nearest_back_idx,furthest_loc_after_esc,nearest_back_loc_after_esc,reach_safe_idx,neck_nose_angle_at_looming,tailbase_nose_angle_at_looming,x_loc_immobile,max_speedS,nPeriodS,speed_fold,escape_distance,escape_max_acc,escape_acc_var,nPeriodW,durationsM,sum_duration_lsM,latency_to_first_escape,back_idx_after_flee,fastest_escape_start,freeze_start,first_freeze_duration,freeze_end,duration_between_escape_and_freeze,binary_occasion,trial_recheck,idm_id,trial_index,manual_label,stim_omit,unsure,comment_y,isDefensive,whichDecision_new,ignore_probability,escape_probability,freeze_probability,freeze_escape_probability,x_loc_off_to_sz,x_loc_end_to_sz,x_loc_exit_to_sz,x_loc_change,exit_time_after_looming,end_time_after_looming,reach_safe_time_after_looming,escape_to_reach_safe_time,decision_latency,first_decision,decision_latency_new,escape_start_shelter,flee_at_n_looming,back_idx_after_flee_shelter,day_key
6349,6349,day2,20230203,20230412,habituate,idm8_0E8E,male,158,14:52:00,58.0,29.0,1.0,0.197373882,bias=-0.1,2,13:10:29,2023_04_12_14_52_00_420501,12.533333333333333,3.694108370034973,44.14961806361509,22.351501015738865,-24.062757406527503,-2.329841911557166,49.1510343568757,2.0,1.4013942366046197,1,0.5333333333333333,0.36666666666666664,0.7666666666666667,0.9666666666666667,17.737123686691813,6.94499186305848,93.19965716698442,93.19965716698442,21.632915547418975,900,0,900,-1,9.866666666666667,17.737123686691813,300,4.429147533143547,618,79.4974556272795,79.4974556272795,900.0,163.29987757853013,174.5470784775362,15.831556891889093,32.48612452017231,2,-1.782895952841329,61.398393504499445,-0.0923203983518005,0.1261019645856927,4,0.0,0.0,11.833333333333334,21.0,11.833333333333334,20.0,,,,1,158,idm8,idm8_158,,,,,0.0,0.0,0.9130771695880948,0.0,0.041985735413939,0.044937094997966,93.05500813694152,6.800342833015584,6.800342833015584,75.46253348029262,20.0,20.0,20.0,8.166666666666666,11.833333333333334,1,,10.3,11.0,,idm8_day2
6142,6142,day3,20230126,20230403,habituate,idm7_E99E,male,155,16:00:08,10.0,25.0,0.6,0.197373882,,7,15:28:21,2023_04_03_16_00_08_148200,13.266666666666667,3.494115977641001,37.07348416769678,19.60393606592969,-29.847052513902803,-8.879691842274864,102.17427963850932,1.0,1.5730854512141794,1,0.4666666666666667,0.6333333333333333,0.6333333333333333,2.6666666666666665,20.235999474158653,7.545877876585296,92.48736448144618,92.48736448144618,15.804589336472835,900,0,900,-1,11.866666666666667,20.235999474158653,300,4.789089293947902,648,82.98313357406333,82.98313357406333,900.0,177.11229384079175,-178.86151668542746,91.99634501409152,27.84669999069044,1,-1.2142567510745437,66.30475595543388,-0.0332167759404715,0.0692829968447083,4,0.0,0.0,12.7,21.0,12.7,20.0,,,,1,155,idm7,idm7_155,0.0,,,,0.0,0.0,0.905440470246912,0.0003128054740957,0.0525303218295995,0.0417164024493924,92.4541221234147,7.512635518553821,7.512635518553821,72.25136500728753,20.0,20.0,20.0,7.3,12.7,1,,10.3,11.0,,idm7_day3
2942,2942,day3,20240205,20240410,test,idm29_B8A3,male,117,11:48:41,27.0,27.0,0.125,0.192572212,,6,,2024_04_10_11_48_41_243225,12.466666666666667,3.941507838016717,48.40327285614127,15.48553893202521,-32.25122695928557,-9.506849542523812,95.06552711814736,2.0,1.52089134949837,1,0.3,0.9,0.9666666666666667,1.7666666666666666,17.756890011086703,6.290560654050792,94.5683071362456,94.5683071362456,12.97712565859686,900,0,900,-1,11.233333333333333,17.756890011086703,300,5.803196526079659,584,75.49778783985411,75.49778783985411,900.0,173.7859147170552,177.2544436366727,92.1018837035809,27.413704618296148,3,-1.1550481969521742,55.97081548149451,-0.0413802178819059,0.1094383528008642,6,0.0,0.0,11.133333333333333,21.0,12.033333333333333,20.0,,,,1,117,idm29,idm29_117,,,,,0.0,0.0,0.904000923799218,0.0003852692422117,0.0543486756949651,0.041265131263605,93.7094393459492,5.431692863754417,5.431692863754417,76.81141712515888,20.0,20.0,20.0,8.866666666666667,11.133333333333333,1,,10.3,11.0,,idm29_day3
6017,6017,day3,20230126,20230403,habituate,idm7_E03E,male,18,10:49:56,7.0,16.0,0.25,0.197373882,,3,10:35:33,2023_04_03_10_49_56_943141,11.933333333333334,3.6406775371633087,43.54675806965079,15.867016891179734,-51.6951086585208,-15.745970439647856,435.43474940507423,0.0,1.552920144768042,1,0.5333333333333333,0.7666666666666667,0.5,2.8666666666666667,20.834775403576764,6.814738063660477,91.69430571673298,91.69430571673298,21.31603372508082,900,143,900,-1,9.933333333333334,20.834775403576764,300,5.989742066562967,627,77.53333393774867,77.53333393774867,900.0,-172.99871084054524,-179.00072313388543,91.60448506403348,32.13874592279836,3,-1.0346316060555103,56.15175901863239,-0.0632913755895519,0.0247000848429153,4,0.43333333333333335,0.43333333333333335,11.0,21.0,11.0,8.233333333333333,0.43333333333333335,8.666666666666666,2.3333333333333335,1,18,idm7,idm7_18,0.0,,,,0.0,0.0,0.8958618346590435,0.0,0.0419573327048691,0.0621808326360873,93.18526193633953,8.305694283267016,8.305694283267016,70.85953031315623,20.0,20.0,20.0,9.0,8.233333333333333,2,,10.3,11.0,,idm7_day3
6176,6176,day4,20230126,20230404,retest,idm7_E1AE,male,189,10:48:26,11.0,24.0,0.75,0.197373882,,8,9:51:52,2023_04_04_10_48_26_173526,12.966666666666667,3.814966347472498,35.08472454198492,18.200616324931666,-41.58174271704701,-11.358171631029764,130.18731077889333,3.0,1.5326690060056092,1,0.4666666666666667,0.5,3.4,1.7333333333333334,18.941477322768154,7.502680366172082,95.63471813522327,95.63471813522327,14.634838235789331,900,31,900,-1,12.433333333333334,18.941477322768154,300,4.245711875531023,662,57.46988392635113,57.02053047807527,900.0,-174.95957396033432,-173.35276579520402,8.451007387682361,25.83340219590381,2,-1.0176769347702588,50.341064129331066,-0.0542952016796401,0.0446132222600119,6,0.5,0.5,12.3,21.0,12.3,5.6,0.5,6.1,6.2,1,189,idm7,idm7_189,,,,,0.0,0.0,0.89513029289383,0.0003128054740957,0.0660743406531164,0.0384825609789574,92.49731963382791,4.365281864776739,4.365281864776739,76.69324081245512,20.0,20.0,20.0,7.7,5.6,2,,10.3,11.0,,idm7_day4
6062,6062,day3,20230126,20230403,habituate,idm7_E03E,male,63,11:51:11,38.0,35.0,0.125,0.197373882,,3,10:35:33,2023_04_03_11_51_11_282898,13.933333333333334,4.671900274215744,47.42307143146083,12.72663006918781,-37.63078897223688,-7.976909050807212,70.70240393862164,2.0,1.535527472136352,1,0.5666666666666667,0.3,0.6333333333333333,1.9666666666666666,21.018414322830324,7.126796894427636,110.3170072115385,110.3170072115385,24.668215480976464,900,0,900,-2,10.3,21.018414322830324,300,6.844926505253233,495,93.28746749108919,93.28746749108919,824.0,159.3574821497145,166.32381692650773,6.903328083554376,26.90440310180644,4,-1.051087366587478,62.52505485069214,-0.0425784320050595,0.1522349137977702,6,0.0,0.0,13.5,21.0,13.5,20.0,,,,1,63,idm7,idm7_63,0.0,,,,0.0,0.0,0.8940754141050821,0.0003333333333333,0.0510479262500799,0.0545433263115047,92.87320310557237,-10.317007211538487,-10.317007211538487,89.29859288870817,20.0,20.0,17.466666666666665,3.966666666666667,13.5,1,,10.3,11.0,,idm7_day3
6253,6253,day2,20230203,20230412,habituate,idm8_E39E,male,62,11:48:12,62.0,46.0,1.0,0.192987762,bias=-0.1,0,10:18:25,2023_04_12_11_48_12_296867,12.433333333333334,3.751329136823121,58.12855407781295,22.814120580234555,-38.87973333229712,-8.795760612871447,211.11267905210087,0.0,1.8188534491272523,1,0.4666666666666667,0.4666666666666667,0.5333333333333333,1.7333333333333334,18.43121208373052,6.696034600943406,95.67384647332284,95.67384647332284,24.821512642210298,900,0,900,-1,11.6,18.43121208373052,300,4.9091210807982435,500,75.70680653701095,75.70680653701095,900.0,174.93315862697494,178.60483534358005,69.55280366690154,40.59245274694763,2,-1.4784811220955822,62.268973960168175,-0.0971303286228095,0.0237147776170891,6,0.0,0.0,11.533333333333333,21.0,11.533333333333333,20.0,,,,1,62,idm8,idm8_62,,,,,0.0,0.0,0.8940680993064238,7.246376811594203e-05,0.0468637069054888,0.0589957300199713,93.3039653990566,4.326153526677162,4.326153526677162,77.24263438959233,20.0,20.0,20.0,8.466666666666667,11.533333333333333,1,,10.3,11.0,,idm8_day2
6095,6095,day3,20230126,20230403,habituate,idm7_EA3E,male,96,12:29:28,33.0,29.0,0.25,0.092107001,,3,10:35:33,2023_04_03_12_29_28_018114,12.333333333333334,4.801724113042794,43.66453704937215,10.169017429563002,-13.709913930812428,-4.957418274707007,18.31435580754495,0.0,1.5726631257577155,0,0.36666666666666664,0.26666666666666666,1.3,1.1,10.791191930796174,7.37066358976086,106.65358970905173,106.65916220262764,14.4352146624254,900,0,894,-2,11.866666666666667,10.791191930796174,300,6.142500778724408,604,55.85955438183853,53.28332778566396,866.0,-170.25082878847337,-149.5199647250445,9.926385044735369,26.79276494956245,3,-2.17431043931173,45.463108740687694,-0.0704092407475254,0.0149851333976138,4,0.0,0.0,11.6,21.0,11.6,20.0,,,,1,96,idm7,idm7_96,0.0,,,,0.0,0.0,0.8938442201685224,0.0003128054740957,0.0658862078069152,0.0399567665504663,92.62933641023915,-6.653589709051724,-6.659162202627641,95.86239777825556,20.0,19.8,18.866666666666667,7.266666666666667,11.6,1,,10.3,11.0,,idm7_day3
2042,2042,day3,20230803,20231020,test,idm23_B563,male,19,12:23:06,4.0,4.0,0.25,0.197050672,,3,12:03:00,2023_10_20_12_23_06_080718,10.633333333333333,4.630127089368397,43.712533025805904,17.992123252209687,-58.8115339709672,-15.538421772651033,314.3901258080753,0.0,1.4660140959351813,0,0.4,1.9,4.633333333333334,4.266666666666667,20.15297401488934,7.614354707834259,110.68507802138595,111.27912418490274,15.950135734416447,900,104,877,-2,9.4,20.15297401488934,300,7.608586966517118,521,58.69720216138926,58.69720216138926,813.0,-174.8677009124425,-177.35145589288337,8.076935381092506,30.386122929745287,3,-0.7670784123070482,44.15709469742105,-0.0341626225006859,0.0210155206624643,6,0.0,0.0,9.766666666666667,21.0,9.766666666666667,20.0,,,,1,19,idm23,idm23_19,0.0,,,,0.0,0.0,0.8929476455346445,0.0003128054740957,0.0537110625937483,0.0530284863975111,92.38564529216575,-10.685078021385937,-11.279124184902733,90.5321040064966,20.0,19.233333333333334,17.1,7.333333333333333,9.766666666666667,1,,9.766666666666667,11.0,,idm23_day3
2845,2845,day2,20240205,20240409,test,idm29_B8A3,male,20,11:43:45,20.0,19.0,1.0,0.197050672,,0,,2024_04_09_11_43_45_912317,12.566666666666666,4.626633307722107,53.02361491747573,19.495510386025103,-21.1973579005988,-9.623873569523914,47.6938069066173,2.0,1.6568643941973398,0,0.3333333333333333,0.7666666666666667,4.6,2.433333333333333,17.835833885941646,8.852966632387682,108.05970371560014,108.05970371560014,15.78381796920331,900,0,900,-2,12.1,17.835833885941646,300,7.529899293611157,442,58.536927402810015,58.536927402810015,855.0,-167.41952975843893,-171.7887302220825,8.982022475184435,30.17509506131457,3,-1.8796806561883563,47.74746550299445,-0.087941211522251,0.0960785087500993,6,0.5,0.5,12.033333333333333,21.0,12.033333333333333,6.566666666666666,0.5,7.066666666666666,4.966666666666667,1,20,idm29,idm29_20,,,,,0.0,0.0,0.8927268504460859,0.0003852692422117,0.0554903958101082,0.0513974845015939,91.14703336761232,-8.059703715600133,-8.059703715600133,90.2238698296585,20.0,20.0,18.5,6.466666666666667,6.566666666666666,2,,10.3,11.0,,idm29_day2
2167,2167,day5,20230830,20231126,test,idm25_8033,male,55,11:23:00,31.0,25.0,1.0,0.192572212,,1,10:27:11,2023_11_26_11_23_00_515386,0.9666666666666667,4.671705866641733,133.3978775767509,13.099596865391362,-41.00858117369656,-8.804172443149833,157.76792965357657,1.0,2.5955181656362742,6,0.23333333333333334,2.2333333333333334,2.2333333333333334,6.166666666666667,20.015299910891912,114.98379217092175,116.07113752693965,115.39079121421862,27.290192378926978,900,0,364,-2,0.0,117.12160922994032,502,109.68006605108404,807,116.14227764423079,109.68006605108404,339.0,-176.26638870988455,-174.31606198730654,114.71306288337202,67.34893266157775,2,-2.874734361925008,94.12114377616255,0.1609493988726336,2.2685646990859505,4,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,55,idm25,idm25_55,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-14.983792170921747,-16.07113752693965,-15.39079121421862,96.05583761604775,20.0,2.1333333333333333,1.3,0.9,0.4,1,0.4,0.4,1.0,,idm25_day5
3926,3926,day16,20240328,20240619,test,idm33_5_0933,male,15,14:00:08,9.0,14.0,1.0,0.197050672,,1,,2024_06_19_14_00_08_793595,0.9666666666666667,45.730329009205306,113.6318874625006,2.3049899713304165,-42.98747532364322,-11.948172149460987,127.0326777239835,1.0,0.8423129054252108,0,0.26666666666666666,0.03333333333333333,0.1,0.03333333333333333,23.31295493047497,115.49853832223513,115.49853832223513,115.49853832223513,26.929242930930872,362,49,362,-2,0.0,115.49853832223513,361,115.49853832223513,361,115.49853832223513,115.49853832223513,342.0,-158.8361945804687,-171.99690852449183,23.318891530327836,58.46717114878226,2,-2.044401900330393,91.55083616904867,-0.0820655032065373,0.5333581620650902,8,0.0,0.0,0.4666666666666667,21.0,0.4666666666666667,20.0,,,,1,15,idm33_5,idm33_5_15,,,,,1.0,1.0,0.0,0.9974663468666818,0.0,0.0025336531333186,-15.498538322235136,-15.498538322235136,-15.498538322235136,92.18558339176018,2.066666666666667,2.066666666666667,1.4,0.9333333333333333,0.4666666666666667,1,0.4666666666666667,0.4666666666666667,1.0,,idm33_5_day16
2132,2132,day4,20230830,20231125,test,idm25_8033,male,20,12:21:20,12.0,9.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_21_20_797201,0.9666666666666667,4.55770681493553,109.54079374710864,11.179210440942596,-33.86631566745377,-1.4013598271227123,429.8156128082731,0.0,3.003787737798615,2,0.3333333333333333,1.2,2.3,5.7,21.623342984551147,117.06920382957561,116.21613892572944,114.28758211414126,33.18368166005264,893,0,366,-2,0.0,117.38864856183687,420,113.03011542606102,868,116.63346397339191,113.03011542606102,339.0,179.01741784622942,176.47597367623206,116.86755532990716,63.93543858891577,1,-2.7604809905423995,91.86539991464792,-0.1747936453975672,0.4796824501714286,6,0.0,0.0,0.3333333333333333,21.0,0.3333333333333333,20.0,,,,0,20,idm25,idm25_20,1.0,,,,1.0,1.0,0.0,0.997324736425623,0.0001612903225806,0.0025139732517966,-17.069203829575603,-16.21613892572944,-14.287582114141248,94.59279594117831,19.766666666666666,2.2,1.3,0.9666666666666667,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.0,,idm25_day4
4998,4998,day3,20240606,20240809,test,idm42_7393,male,12,11:59:09,12.0,8.0,1.0,0.197050672,,0,,2024_08_09_11_59_09_455725,0.9333333333333333,4.490086691547687,108.99822107566872,13.317537331689923,-14.807302902250788,0.6239660235047768,40.1789982498616,4.0,3.198853032371184,1,0.3,2.533333333333333,2.3333333333333335,5.433333333333334,18.370286207932693,116.64161192390583,115.67091009408156,111.33327764077698,28.28223491175782,900,0,377,-2,0.0,117.25562883372015,524,110.22267697281168,801,115.67347454202589,110.22267697281168,344.0,-174.84083464825238,-163.99425232311737,115.6555726230935,72.36596866697244,1,-5.641833510259642,92.67063648820873,0.069841868729384,0.7068979306301132,2,0.0,0.0,0.43333333333333335,21.0,0.43333333333333335,20.0,,,,0,12,idm42,idm42_12,,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-16.641611923905828,-15.670910094081556,-11.333277640776975,97.30062388614887,20.0,2.566666666666667,1.4666666666666666,1.0333333333333334,0.43333333333333335,1,0.43333333333333335,0.43333333333333335,1.0,,idm42_day3
2136,2136,day4,20230830,20231125,test,idm25_8033,male,24,12:33:03,14.0,11.0,1.0,0.197050672,,0,11:33:12,2023_11_25_12_33_03_919745,0.9333333333333333,4.759684069624357,123.31821218709293,6.085463289582368,-33.31018338613758,-7.791755909691741,72.45590555749493,3.0,3.6637398085657886,0,0.26666666666666666,1.4333333333333333,2.3666666666666667,7.066666666666666,21.73892835217382,116.27743570747681,115.4923234934516,114.98738498839523,29.43770285689863,900,0,362,-2,0.0,116.28613410767576,536,114.98738498839523,899,116.16225832020886,114.98738498839523,339.0,151.00707547830694,156.17733741943823,115.2055405027354,59.98867770982732,1,-2.707935552186714,93.19338722127819,-0.1746163914310264,0.642234367408896,4,0.0,0.0,0.4,21.0,0.4,20.0,,,,0,24,idm25,idm25_24,1.0,,,,1.0,1.0,0.0,0.9978510522150966,0.0001612903225806,0.0019876574623229,-16.2774357074768,-15.492323493451588,-14.987384988395226,93.75339514127778,20.0,2.066666666666667,1.3,0.9,0.4,1,0.4,0.4,1.0,,idm25_day4
2415,2415,day4,20231027,20240118,test,idm26_5_0873,male,27,12:47:45,10.0,13.0,1.0,0.197050672,,0,11:41:55,2024_01_18_12_47_45_790253,0.9333333333333333,27.79368929956969,88.63863288632389,8.021451855015737,-9.176591275463636,1.250106681332185,44.80796138249004,3.0,1.007000382041831,0,0.3,0.0,,0.0,21.04721530742291,119.0457803978637,119.0457803978637,119.0457803978637,23.77014500139879,406,0,406,-2,0.0,119.0457803978637,405,119.0457803978637,405,118.8102660898341,118.8102660898341,351.0,-159.8867492680969,178.44038786235248,21.601171842620605,52.62468864455943,2,,90.77016912404676,-0.1083717677155598,0.4124497030478268,0,0.0,0.0,0.4666666666666667,21.0,0.4666666666666667,20.0,,,,0,27,idm26_5,idm26_5_27,,,,,1.0,1.0,0.0,0.9964330135333485,0.0,0.0035669864666519,-19.045780397863687,-19.045780397863687,-19.045780397863687,97.99856509044078,3.533333333333333,3.533333333333333,1.7,1.2333333333333334,0.4666666666666667,1,0.4666666666666667,0.4666666666666667,1.0,,idm26_5_day4
2423,2423,day4,20231027,20240118,test,idm26_5_0873,male,35,13:16:14,14.0,19.0,1.0,0.192572212,,0,11:41:55,2024_01_18_13_16_14_552718,0.9333333333333333,4.644704040779564,87.38975096125341,1.8274225797662704,-25.2414788409232,-9.51685667503732,36.968267804458286,0.0,3.354041234561429,0,0.3333333333333333,5.1,0.1,12.133333333333333,21.367634983214526,113.3789774846651,112.681654871933,113.06629184281056,26.070891524499547,900,0,383,-2,0.0,113.4130457870524,518,112.77912720697945,585,112.69304853282493,112.614085554128,350.0,-163.52776239525858,-177.16375537651396,112.81282638428381,51.89894891878272,1,-2.6187665548440906,87.91747167234819,-0.0756768594369921,0.3066812944780197,10,0.0,0.0,0.43333333333333335,21.0,0.43333333333333335,20.0,,,,0,35,idm26_5,idm26_5_35,,,,,1.0,1.0,0.0,0.9967282162791028,0.0004112903225806,0.0028604933983168,-13.378977484665096,-12.681654871933,-13.066291842810559,91.31401988871849,20.0,2.7666666666666666,1.6666666666666667,1.2333333333333334,0.43333333333333335,1,0.43333333333333335,0.43333333333333335,1.0,,idm26_5_day4
2175,2175,day5,20230830,20231126,test,idm25_8033,male,63,12:26:40,37.0,31.0,1.0,0.197050672,,1,10:27:11,2023_11_26_12_26_40_521939,0.9,4.814426449973424,115.60220214963012,13.72722161914059,-12.090608835058292,-1.172949585117725,9.082394213258551,3.0,2.924652801162942,0,0.26666666666666666,1.2333333333333334,0.1,5.633333333333334,21.44730431837492,115.26894194504311,116.36674843542772,114.27590178768789,27.767742029488556,900,0,393,-2,0.0,117.10750476624669,486,111.41069892863064,768,116.38660606971155,111.41069892863064,344.0,169.43228309950248,168.22802110267634,116.32365275820625,47.89853760919397,1,-4.24996703825747,91.2955557016226,-0.0580320686529515,0.6163164867900067,2,0.0,0.0,0.3333333333333333,21.0,0.3333333333333333,20.0,,,,0,63,idm25,idm25_63,1.0,,,,1.0,1.0,0.0,0.998089147453192,0.0001612903225806,0.0017495622242277,-15.268941945043109,-16.366748435427716,-14.275901787687879,94.9194441170528,20.0,3.1,1.4666666666666666,1.1333333333333333,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.0,,idm25_day5
