,trial_key,up_attention,up_attention_T,up_rotat,up_rotat_T,stratch,stratch_T,lookup,lookup_T,freeze,freeze_T,head_rotation,head_rotation_T,reward,risk,mice_id,num_stim,condition,total_frame,up_attention%,up_rotat%
0,non_high_idm43_0783_1,0,0.0,11,2.0,0,0.0,0,0.0,0,0.0,11,2.0,non,high,idm43_0783,1,non_high,300,0.0,3.6666666666666665
1,non_high_idm43_0783_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_0783,2,non_high,240,0.0,0.0
2,non_high_idm43_0783_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_0783,3,non_high,300,0.0,0.0
3,non_high_idm43_7993_1,18,1.0,18,1.0,18,1.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7993,1,non_high,300,6.0,6.0
4,non_high_idm43_7993_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7993,2,non_high,300,0.0,0.0
5,non_high_idm43_7993_3,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,7,1.0,non,high,idm43_7993,3,non_high,300,0.0,2.3333333333333335
6,non_high_idm43_7C63_1,31,1.0,38,2.0,31,1.0,0,0.0,0,0.0,7,1.0,non,high,idm43_7C63,1,non_high,246,12.601626016260163,15.447154471544716
7,non_high_idm43_7C63_2,0,0.0,11,2.0,0,0.0,0,0.0,0,0.0,11,2.0,non,high,idm43_7C63,2,non_high,219,0.0,5.0228310502283104
8,non_high_idm43_7C63_3,4,1.0,10,2.0,0,0.0,4,1.0,0,0.0,6,1.0,non,high,idm43_7C63,3,non_high,154,2.5974025974025974,6.493506493506493
9,non_high_idm43_7E53_1,4,1.0,4,1.0,0,0.0,4,1.0,0,0.0,0,0.0,non,high,idm43_7E53,1,non_high,300,1.3333333333333335,1.3333333333333335
10,non_high_idm43_7E53_2,31,2.0,31,2.0,15,1.0,16,1.0,0,0.0,0,0.0,non,high,idm43_7E53,2,non_high,300,10.333333333333334,10.333333333333334
11,non_high_idm43_7E53_3,27,1.0,27,1.0,27,1.0,0,0.0,0,0.0,0,0.0,non,high,idm43_7E53,3,non_high,300,9.0,9.0
12,non_high_idm43_7FC3_1,27,2.0,27,2.0,0,0.0,27,2.0,0,0.0,0,0.0,non,high,idm43_7FC3,1,non_high,300,9.0,9.0
13,non_high_idm43_7FC3_2,11,1.0,11,1.0,0,0.0,11,1.0,0,0.0,0,0.0,non,high,idm43_7FC3,2,non_high,300,3.6666666666666665,3.6666666666666665
14,non_high_idm43_7FC3_3,10,1.0,10,1.0,0,0.0,10,1.0,0,0.0,0,0.0,non,high,idm43_7FC3,3,non_high,300,3.3333333333333335,3.3333333333333335
15,non_low_idm39_7963_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_7963,1,non_low,159,0.0,0.0
16,non_low_idm39_7963_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_7963,2,non_low,300,0.0,0.0
17,non_low_idm39_7963_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_7963,3,non_low,137,0.0,0.0
18,non_low_idm39_7B53_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_7B53,1,non_low,219,0.0,0.0
19,non_low_idm39_7B53_2,21,1.0,21,1.0,0,0.0,21,1.0,0,0.0,0,0.0,non,low,idm39_7B53,2,non_low,300,7.000000000000001,7.000000000000001
20,non_low_idm39_7B53_3,20,2.0,20,2.0,0,0.0,20,2.0,0,0.0,0,0.0,non,low,idm39_7B53,3,non_low,253,7.905138339920949,7.905138339920949
21,non_low_idm39_8D53_1,8,1.0,8,1.0,0,0.0,8,1.0,0,0.0,0,0.0,non,low,idm39_8D53,1,non_low,300,2.666666666666667,2.666666666666667
22,non_low_idm39_8D53_2,6,1.0,6,1.0,0,0.0,6,1.0,0,0.0,0,0.0,non,low,idm39_8D53,2,non_low,287,2.0905923344947737,2.0905923344947737
23,non_low_idm39_8D53_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_8D53,3,non_low,293,0.0,0.0
24,non_low_idm39_8F93_1,59,3.0,59,3.0,59,3.0,0,0.0,0,0.0,0,0.0,non,low,idm39_8F93,1,non_low,300,19.666666666666664,19.666666666666664
25,non_low_idm39_8F93_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,non,low,idm39_8F93,2,non_low,278,0.0,0.0
26,non_low_idm39_8F93_3,32,2.0,32,2.0,0,0.0,32,2.0,0,0.0,0,0.0,non,low,idm39_8F93,3,non_low,300,10.666666666666668,10.666666666666668
27,sucrose_high_idm41_08E3_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_08E3,1,sucrose_high,300,0.0,0.0
28,sucrose_high_idm41_08E3_2,13,1.0,53,6.0,0,0.0,0,0.0,13,1.0,40,6.0,sucrose,high,idm41_08E3,2,sucrose_high,300,4.333333333333334,17.666666666666668
29,sucrose_high_idm41_08E3_3,47,2.0,47,2.0,23,1.0,24,1.0,0,0.0,0,0.0,sucrose,high,idm41_08E3,3,sucrose_high,300,15.666666666666668,15.666666666666668
30,sucrose_high_idm41_7A33_1,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,7,1.0,sucrose,high,idm41_7A33,1,sucrose_high,300,0.0,2.3333333333333335
31,sucrose_high_idm41_7A33_2,49,1.0,57,2.0,49,1.0,0,0.0,0,0.0,8,1.0,sucrose,high,idm41_7A33,2,sucrose_high,300,16.333333333333332,19.0
32,sucrose_high_idm41_7A33_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_7A33,3,sucrose_high,300,0.0,0.0
33,sucrose_high_idm41_7C93_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_7C93,1,sucrose_high,150,0.0,0.0
34,sucrose_high_idm41_7C93_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_7C93,2,sucrose_high,300,0.0,0.0
35,sucrose_high_idm41_7C93_3,7,1.0,7,1.0,0,0.0,7,1.0,0,0.0,0,0.0,sucrose,high,idm41_7C93,3,sucrose_high,300,2.3333333333333335,2.3333333333333335
36,sucrose_high_idm41_C8C3_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_C8C3,1,sucrose_high,144,0.0,0.0
37,sucrose_high_idm41_C8C3_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_C8C3,2,sucrose_high,169,0.0,0.0
38,sucrose_high_idm41_C8C3_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_C8C3,3,sucrose_high,300,0.0,0.0
39,sucrose_high_idm41_CE93_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_CE93,1,sucrose_high,300,0.0,0.0
40,sucrose_high_idm41_CE93_2,66,1.0,66,1.0,66,1.0,0,0.0,0,0.0,0,0.0,sucrose,high,idm41_CE93,2,sucrose_high,300,22.0,22.0
41,sucrose_low_idm38_8EF3_1,6,1.0,6,1.0,0,0.0,6,1.0,0,0.0,0,0.0,sucrose,low,idm38_8EF3,1,sucrose_low,220,2.727272727272727,2.727272727272727
42,sucrose_low_idm38_8EF3_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_8EF3,2,sucrose_low,174,0.0,0.0
43,sucrose_low_idm38_8EF3_3,31,1.0,31,1.0,0,0.0,31,1.0,0,0.0,0,0.0,sucrose,low,idm38_8EF3,3,sucrose_low,174,17.81609195402299,17.81609195402299
44,sucrose_low_idm38_8F63_1,58,2.0,58,2.0,0,0.0,58,2.0,0,0.0,0,0.0,sucrose,low,idm38_8F63,1,sucrose_low,274,21.16788321167883,21.16788321167883
45,sucrose_low_idm38_8F63_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_8F63,2,sucrose_low,172,0.0,0.0
46,sucrose_low_idm38_8F63_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_8F63,3,sucrose_low,300,0.0,0.0
47,sucrose_low_idm38_9053_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_9053,1,sucrose_low,300,0.0,0.0
48,sucrose_low_idm38_9053_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_9053,2,sucrose_low,210,0.0,0.0
49,sucrose_low_idm38_9053_3,19,1.0,19,1.0,0,0.0,19,1.0,0,0.0,0,0.0,sucrose,low,idm38_9053,3,sucrose_low,300,6.333333333333334,6.333333333333334
50,sucrose_low_idm38_9433_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,sucrose,low,idm38_9433,1,sucrose_low,227,0.0,0.0
51,sucrose_low_idm38_9433_2,13,2.0,13,2.0,0,0.0,13,2.0,0,0.0,0,0.0,sucrose,low,idm38_9433,2,sucrose_low,297,4.377104377104377,4.377104377104377
52,sucrose_low_idm38_9433_3,77,5.0,77,5.0,41,3.0,36,2.0,0,0.0,0,0.0,sucrose,low,idm38_9433,3,sucrose_low,288,26.73611111111111,26.73611111111111
53,sucrose_low_idm38_94C3_1,24,2.0,24,2.0,18,1.0,6,1.0,0,0.0,0,0.0,sucrose,low,idm38_94C3,1,sucrose_low,300,8.0,8.0
54,sucrose_low_idm38_94C3_2,25,1.0,25,1.0,11,1.0,14,1.0,0,0.0,0,0.0,sucrose,low,idm38_94C3,2,sucrose_low,283,8.8339222614841,8.8339222614841
55,sucrose_low_idm38_94C3_3,12,1.0,12,1.0,0,0.0,12,1.0,0,0.0,0,0.0,sucrose,low,idm38_94C3,3,sucrose_low,122,9.836065573770492,9.836065573770492
56,water_high_idm42_7363_1,30,2.0,30,2.0,30,2.0,0,0.0,0,0.0,0,0.0,water,high,idm42_7363,1,water_high,300,10.0,10.0
57,water_high_idm42_7363_2,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,4,1.0,water,high,idm42_7363,2,water_high,255,0.0,1.5686274509803921
58,water_high_idm42_7363_3,52,2.0,52,2.0,52,2.0,0,0.0,0,0.0,0,0.0,water,high,idm42_7363,3,water_high,300,17.333333333333336,17.333333333333336
59,water_high_idm42_7393_1,31,2.0,31,2.0,20,1.0,11,1.0,0,0.0,0,0.0,water,high,idm42_7393,1,water_high,300,10.333333333333334,10.333333333333334
60,water_high_idm42_7393_2,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,6,1.0,water,high,idm42_7393,2,water_high,239,0.0,2.510460251046025
61,water_high_idm42_7393_3,35,1.0,35,1.0,35,1.0,0,0.0,0,0.0,0,0.0,water,high,idm42_7393,3,water_high,256,13.671875,13.671875
62,water_high_idm42_7DF3_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,high,idm42_7DF3,1,water_high,300,0.0,0.0
63,water_high_idm42_7DF3_2,106,4.0,106,4.0,106,4.0,0,0.0,0,0.0,0,0.0,water,high,idm42_7DF3,2,water_high,300,35.333333333333336,35.333333333333336
64,water_high_idm42_7DF3_3,105,5.0,105,5.0,83,3.0,22,2.0,0,0.0,0,0.0,water,high,idm42_7DF3,3,water_high,300,35.0,35.0
65,water_high_idm42_F133_1,41,2.0,41,2.0,27,1.0,14,1.0,0,0.0,0,0.0,water,high,idm42_F133,1,water_high,247,16.599190283400812,16.599190283400812
66,water_high_idm42_F133_2,9,1.0,9,1.0,0,0.0,9,1.0,0,0.0,0,0.0,water,high,idm42_F133,2,water_high,300,3.0,3.0
67,water_high_idm42_F133_3,31,1.0,31,1.0,0,0.0,31,1.0,0,0.0,0,0.0,water,high,idm42_F133,3,water_high,213,14.553990610328638,14.553990610328638
68,water_high_idm42_F1C3_1,97,4.0,97,4.0,56,1.0,41,3.0,0,0.0,0,0.0,water,high,idm42_F1C3,1,water_high,300,32.33333333333333,32.33333333333333
69,water_high_idm42_F1C3_2,78,5.0,78,5.0,11,1.0,67,4.0,0,0.0,0,0.0,water,high,idm42_F1C3,2,water_high,300,26.0,26.0
70,water_high_idm42_F1C3_3,35,1.0,35,1.0,0,0.0,35,1.0,0,0.0,0,0.0,water,high,idm42_F1C3,3,water_high,300,11.666666666666666,11.666666666666666
71,water_low_idm40_07D3_1,14,1.0,14,1.0,14,1.0,0,0.0,0,0.0,0,0.0,water,low,idm40_07D3,1,water_low,300,4.666666666666667,4.666666666666667
72,water_low_idm40_07D3_2,21,2.0,21,2.0,0,0.0,21,2.0,0,0.0,0,0.0,water,low,idm40_07D3,2,water_low,300,7.000000000000001,7.000000000000001
73,water_low_idm40_07D3_3,15,2.0,15,2.0,0,0.0,15,2.0,0,0.0,0,0.0,water,low,idm40_07D3,3,water_low,300,5.0,5.0
74,water_low_idm40_72F3_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_72F3,1,water_low,217,0.0,0.0
75,water_low_idm40_72F3_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_72F3,2,water_low,300,0.0,0.0
76,water_low_idm40_72F3_3,29,2.0,29,2.0,29,2.0,0,0.0,0,0.0,0,0.0,water,low,idm40_72F3,3,water_low,245,11.83673469387755,11.83673469387755
77,water_low_idm40_78F3_1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_78F3,1,water_low,247,0.0,0.0
78,water_low_idm40_78F3_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_78F3,2,water_low,300,0.0,0.0
79,water_low_idm40_78F3_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_78F3,3,water_low,175,0.0,0.0
80,water_low_idm40_8DA3_1,24,2.0,24,2.0,0,0.0,24,2.0,0,0.0,0,0.0,water,low,idm40_8DA3,1,water_low,234,10.256410256410255,10.256410256410255
81,water_low_idm40_8DA3_2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_8DA3,2,water_low,236,0.0,0.0
82,water_low_idm40_8DA3_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_8DA3,3,water_low,270,0.0,0.0
83,water_low_idm40_CDC3_1,13,1.0,13,1.0,0,0.0,13,1.0,0,0.0,0,0.0,water,low,idm40_CDC3,1,water_low,300,4.333333333333334,4.333333333333334
84,water_low_idm40_CDC3_2,11,1.0,11,1.0,0,0.0,11,1.0,0,0.0,0,0.0,water,low,idm40_CDC3,2,water_low,300,3.6666666666666665,3.6666666666666665
85,water_low_idm40_CDC3_3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,water,low,idm40_CDC3,3,water_low,158,0.0,0.0
